GPA,Gender,breakfast,calories_chicken,calories_day,calories_scone,comfort_food_reasons_coded,cook,cuisine,diet_current_coded,eating_changes_coded,eating_changes_coded1,eating_out,employment,ethnic_food,exercise,father_education,fav_cuisine_coded,fav_food,fruit_day,grade_level,greek_food,healthy_feeling,ideal_diet_coded,income,indian_food,italian_food,life_rewarding,marital_status,mother_education,nutritional_check,on_off_campus,parents_cook,pay_meal_out,persian_food,self_perception_weight,sports,thai_food,tortilla_calories,turkey_calories,type_sports,veggies_day,vitamins,waffle_calories,weight
2.4,2,1,430,3,315,9,2,1,1,1,1,3,3,1,1,5,3,1,5,2,5,2,8,5,5,5,1,1,1,5,1,1,2,5,3,1,1,1165,345,car racing,5,1,1315,187
3.654,1,1,610,3,420,1,3,1,2,1,2,2,2,4,1,2,1,1,4,4,4,5,3,4,4,4,1,2,4,4,1,1,4,4,3,1,2,725,690,Basketball ,4,2,900,155
3.3,1,1,720,4,420,1,1,3,3,1,3,2,3,5,2,2,1,3,5,3,5,6,6,6,5,5,7,2,2,4,2,1,3,5,6,2,5,1165,500,none,5,1,900,154
3.2,1,1,430,3,420,2,2,2,2,1,3,2,3,5,3,2,3,1,4,4,5,7,2,6,5,5,2,2,4,2,1,1,2,5,5,2,5,725,690,nan,3,1,1315,240
3.5,1,1,720,2,420,1,1,2,2,3,4,2,2,4,1,4,1,3,4,4,4,6,2,6,2,5,1,1,5,3,1,1,4,2,4,1,4,940,500,Softball,4,2,760,190
2.25,1,1,610,3,980,4,3,1,2,1,3,1,3,4,2,1,6,3,2,2,2,4,2,1,5,5,4,2,1,1,1,2,5,5,5,2,4,940,345,None.,1,2,1315,190
3.8,2,1,610,3,420,1,2,1,3,2,5,2,3,5,1,4,4,1,4,4,5,4,2,4,5,5,8,1,4,4,2,2,2,5,4,1,5,940,690,soccer,4,1,1315,180
3.3,1,1,720,3,420,1,3,1,1,2,5,2,2,2,2,3,5,1,5,2,3,3,2,5,1,3,3,1,2,4,1,1,5,1,3,2,1,725,500,none,4,2,1315,137
3.3,1,1,430,3,420,2,3,1,1,2,8,5,2,5,1,5,1,3,4,1,5,7,6,5,5,5,8,2,5,2,1,2,3,5,4,2,5,725,345,none,3,2,760,180
3.3,1,1,430,3,315,1,3,1,1,1,3,3,3,5,1,5,1,1,5,1,5,3,2,4,4,5,3,2,5,5,1,3,3,4,3,1,4,580,345,field hockey,5,1,900,125
3.5,1,1,610,3,980,2,1,1,1,3,4,2,1,5,1,2,4,1,5,3,1,9,7,3,1,5,8,1,4,2,3,1,2,2,1,1,2,940,345,soccer,5,2,900,116
3.904,1,1,720,4,420,3,3,1,1,4,5,1,2,5,1,3,1,1,5,2,5,1,2,5,5,5,1,2,4,5,1,1,3,5,2,1,5,940,500,Running,5,1,900,110
3.4,2,1,430,3,420,3,5,1,1,2,5,1,3,4,3,3,4,3,4,1,3,9,1,5,3,4,9,2,4,2,1,2,2,3,5,1,3,940,500,Soccer and basketball ,3,2,575,264
3.6,1,1,610,3,420,1,2,1,2,1,3,4,2,5,2,2,1,1,5,3,4,8,2,5,3,5,10,2,4,2,2,2,3,3,3,1,5,1165,850,intramural volleyball,5,2,1315,123
3.1,2,1,610,3,420,2,3,1,1,3,4,2,3,4,2,4,4,3,5,3,4,2,1,5,2,3,1,1,4,2,2,2,3,1,3,1,4,940,500,Hockey,5,1,900,185
3.4,2,2,430,3,980,2,4,1,2,3,4,4,3,1,1,5,1,2,3,1,1,6,2,4,1,5,1,2,4,1,1,2,3,1,2,1,1,940,345,Hockey,1,2,1315,180
4,1,1,265,3,420,1,3,1,1,2,5,1,2,2,2,1,7,1,5,1,2,7,2,1,5,3,9,2,2,4,1,2,2,2,3,2,1,580,345,nan,5,1,760,145
3.6,2,1,430,3,980,2,3,1,3,1,2,2,3,4,1,2,5,3,3,1,3,8,1,6,3,5,7,2,2,4,1,1,6,2,2,1,3,940,500,hockey,4,2,900,170
3.4,1,1,720,3,980,3,3,1,1,4,6,3,2,1,3,5,5,3,5,2,3,6,2,5,1,5,9,2,3,2,1,1,2,1,3,2,1,1165,690,dancing ,5,1,1315,135
2.2,2,1,430,2,420,2,4,1,2,3,4,2,3,3,2,5,1,1,2,1,3,4,3,5,2,5,7,1,4,1,1,1,3,3,4,1,3,940,345,basketball,2,2,900,165
3.3,2,1,610,3,980,7,5,1,2,1,3,4,2,4,1,5,2,3,2,2,2,5,1,6,1,4,2,1,4,2,1,1,2,1,6,1,1,1165,850,Soccer,3,2,1315,175
3.87,2,1,610,3,315,2,3,3,2,1,8,1,2,3,1,4,8,2,3,4,5,8,7,6,5,5,7,2,2,4,1,3,5,5,2,1,5,725,500,Tennis,2,2,900,195
3.7,2,1,610,3,420,3,5,2,1,1,3,1,2,3,1,4,1,1,4,1,4,2,2,6,5,5,5,1,4,3,1,3,5,2,2,1,4,940,850,tennis soccer gym,3,1,1315,185
3.7,2,2,610,3,420,1,4,1,1,1,7,2,2,5,3,4,4,1,3,3,2,4,1,4,4,5,5,1,2,2,1,2,3,2,3,1,4,940,690,Gaelic Football,4,1,1315,185
3.9,1,1,720,2,420,6,1,1,1,1,2,4,3,4,1,3,4,1,4,3,5,5,2,4,3,5,2,2,2,2,1,1,3,3,4,2,4,940,500,none,4,2,1315,105
2.8,1,2,720,3,420,2,3,1,1,3,4,2,3,2,1,4,0,3,4,1,3,8,2,6,3,3,5,1,3,4,1,1,3,3,3,1,3,1165,690,Ice hockey,3,2,760,125
3.7,2,1,610,2,420,2,3,1,1,1,3,2,2,2,1,4,1,1,3,2,1,9,5,5,1,5,9,2,2,2,1,1,4,1,2,1,2,1165,850,Hockey,3,2,1315,160
3,2,1,610,4,980,2,4,1,1,2,5,2,3,3,1,5,2,1,5,1,3,9,6,6,3,4,9,2,5,4,1,1,6,2,2,1,3,1165,500,Lacrosse ,5,1,1315,175
3.2,2,1,610,2,420,2,2,2,2,1,3,2,2,2,2,4,1,1,3,3,1,4,7,5,1,5,3,1,4,5,1,1,3,2,3,2,1,940,500,nan,2,1,1315,180
3.5,2,1,265,2,420,2,3,1,2,1,3,5,3,5,2,5,8,1,5,3,3,9,7,5,5,5,10,1,5,2,1,1,4,5,2,2,5,580,500,nan,4,1,760,167
4,1,1,720,3,420,1,3,1,1,1,7,3,2,4,2,2,2,2,3,4,2,7,2,5,3,4,8,2,5,4,3,3,3,2,3,1,3,940,500,snowboarding,5,1,1315,115
4,2,1,610,3,420,1,2,1,2,3,4,2,3,5,2,4,1,1,5,2,5,5,1,4,4,5,3,1,2,4,4,1,3,3,4,2,4,940,690,none organized,5,1,1315,205
3.4,2,1,610,3,315,4,5,1,2,1,3,3,2,5,1,5,2,1,4,4,5,5,7,5,5,5,8,1,5,4,1,3,4,5,4,1,5,580,345,Soccer,5,1,760,154
2.8,1,1,720,3,420,2,4,2,2,1,3,2,3,4,3,4,1,1,3,1,5,7,2,3,2,5,3,1,4,4,1,1,3,2,3,2,1,1165,500,nan,3,1,900,128
3.65,1,1,610,3,420,2,4,1,2,1,3,3,3,2,1,4,1,3,5,1,3,1,7,6,1,5,3,1,4,4,1,5,4,1,2,1,3,940,345,softball,4,1,1315,150
3,1,1,610,2,420,2,1,1,3,1,3,2,3,2,1,4,5,1,5,3,3,2,6,4,1,5,3,2,4,2,2,1,3,2,2,1,2,940,690,Lacrosse,5,2,760,150
3.7,1,1,610,3,420,2,3,1,2,1,8,4,2,4,1,5,1,3,5,2,3,7,5,6,2,5,7,1,2,3,1,2,3,1,4,1,2,1165,500,Softball ,5,2,900,150
3.4,1,1,720,4,420,1,2,6,2,1,3,2,2,4,3,2,1,1,3,4,5,4,2,6,3,5,2,2,3,4,1,1,4,3,4,1,5,940,500,Dancing,4,2,1315,170
3.89,1,1,610,3,980,2,3,1,1,1,2,2,3,4,2,4,1,1,4,4,3,6,2,5,3,5,8,2,4,4,1,1,3,3,4,1,2,1165,690,Lacrosse,3,2,1315,150
3,2,1,720,3,980,9,5,1,2,1,2,5,3,3,1,5,2,1,5,4,1,3,2,6,3,4,5,2,2,1,2,3,3,1,1,1,3,1165,690,Hockey,3,2,1315,175
3.4,2,1,430,3,315,3,3,1,3,1,9,2,3,4,1,4,1,1,3,1,5,10,2,6,3,5,8,1,4,3,1,1,3,3,2,1,3,940,500,wrestling ,4,2,760,140
2.9,1,1,720,4,980,5,2,1,4,1,3,4,2,4,1,2,1,1,5,2,5,6,3,3,3,5,4,1,3,4,1,1,3,2,6,2,4,940,690,nan,5,1,1315,120
3.6,1,1,610,3,420,2,4,1,2,1,3,2,2,3,1,4,1,1,5,2,5,6,1,6,4,5,7,1,4,1,1,2,3,2,3,2,4,940,500,nan,4,2,900,135
3.5,1,1,430,2,980,3,3,1,2,2,5,1,2,5,1,2,4,3,4,3,5,6,2,3,5,5,8,2,2,3,1,1,2,5,3,2,5,940,345,no particular engagement ,4,1,900,100
3.2,1,1,610,4,420,1,1,1,1,2,4,2,2,5,1,4,4,1,5,4,5,8,7,5,5,5,10,1,2,4,2,1,6,5,3,1,5,725,500,Volleyball,5,1,760,170
3.605,1,1,610,3,315,4,3,1,1,2,5,2,2,5,1,4,1,1,5,2,5,3,6,6,5,5,3,2,4,2,1,2,4,5,1,2,5,940,500,none,5,2,900,113
3.8,2,1,430,2,420,3,3,1,2,1,2,2,2,4,2,3,1,1,4,1,4,4,5,4,3,5,4,1,4,3,1,2,3,3,3,1,3,725,345,soccer ,4,2,900,168
2.8,2,1,430,3,980,2,4,1,2,1,3,2,2,3,1,5,1,3,5,1,3,8,7,6,2,4,9,1,5,2,1,1,3,4,2,1,1,940,345,wrestling & rowing,5,2,900,145
3.5,2,2,430,3,315,1,4,1,2,1,3,2,3,4,1,4,4,1,5,2,4,2,7,5,4,5,3,1,4,3,1,1,3,4,1,1,4,940,345,Wrestling,5,1,760,155
3.83,2,1,430,3,315,5,3,2,2,1,3,2,2,3,2,2,1,1,3,3,4,9,2,3,4,5,9,2,4,2,1,2,6,1,1,2,4,1165,690,none,3,2,900,150
3.6,2,1,720,3,420,1,5,1,1,2,5,2,3,2,1,3,5,2,4,3,1,8,4,1,1,3,8,1,2,5,3,1,3,1,3,2,1,1165,500,nan,5,2,760,169
3.3,2,1,610,4,980,5,3,1,4,1,3,3,3,5,1,2,0,1,5,2,5,8,5,6,5,5,8,1,2,5,1,1,3,5,2,1,5,1165,500,Hockey,4,1,1315,185
3.3,2,1,610,4,420,2,1,1,3,1,3,5,2,4,1,3,2,1,5,2,5,1,3,5,3,5,5,1,2,5,1,1,3,3,2,1,3,1165,500,Lacrosse ,5,2,900,200
3.292,2,1,610,3,980,2,4,1,4,3,4,3,2,3,1,2,5,3,4,4,4,5,3,3,2,5,1,1,5,1,3,1,3,3,4,2,1,940,500,nan,4,1,1315,265
3.5,2,1,610,3,420,1,1,2,1,2,5,3,3,5,1,4,1,1,5,2,5,10,7,6,4,5,10,1,5,4,1,1,6,2,2,1,4,940,690,hockey,5,1,900,165
3.35,1,2,610,2,315,2,3,1,2,4,10,5,3,3,1,1,1,1,4,1,3,8,5,3,2,5,8,1,3,3,1,2,2,2,3,1,3,940,500,softball,4,2,900,192
3.8,2,1,720,4,315,2,3,1,1,2,5,4,3,5,1,4,4,1,5,4,4,1,2,6,5,5,1,1,4,4,2,1,4,4,2,1,5,1165,500,Hockey,5,1,1315,175
2.8,1,1,610,4,980,9,2,1,1,2,5,3,2,2,1,2,5,3,4,2,5,9,2,5,2,5,10,1,4,5,1,1,3,1,2,1,2,725,345,softball,4,1,1315,140
3.5,1,1,610,3,420,1,1,2,3,1,11,2,2,5,2,4,2,1,5,3,5,4,6,5,5,5,1,1,5,2,2,1,4,4,3,1,5,1165,690,Skiing,5,1,1315,155
3.7,1,1,610,3,420,2,2,1,3,1,11,2,3,5,1,4,1,3,5,4,5,7,1,6,5,5,10,1,4,2,2,2,3,4,3,1,5,1165,500,skiing ,4,2,1315,155
3.6,1,1,610,4,420,3,2,1,1,3,4,5,3,5,1,4,2,1,5,1,4,3,6,6,1,5,5,1,4,4,1,1,3,1,2,1,1,1165,690,Water polo and running ,5,1,1315,135
3.4,1,1,610,2,980,3,2,1,1,2,5,2,2,4,2,2,2,2,3,4,3,2,2,4,2,4,5,2,4,4,3,1,2,3,2,2,2,725,500,nan,3,1,1315,118
3.9,2,1,610,4,980,2,3,1,1,2,5,5,2,2,1,2,1,1,4,4,3,2,7,6,2,5,1,1,2,4,1,2,3,2,2,1,2,1165,850,Ice Hockey,4,1,1315,210
2.6,1,1,610,4,980,3,3,2,1,3,4,4,3,5,1,4,1,1,5,3,4,8,6,5,4,4,8,2,4,4,1,1,3,4,2,1,4,1165,690,rowing ,5,2,1315,180
3.5,1,1,610,3,420,2,1,1,1,1,3,3,2,4,1,2,4,3,5,2,4,3,5,2,3,5,1,2,2,4,1,1,2,3,4,1,3,940,500,Volleyball,5,1,760,140
3.2,1,1,610,3,315,2,2,2,2,1,11,3,3,3,2,5,1,3,3,2,3,3,6,6,1,5,3,2,4,1,1,2,5,1,2,2,4,725,500,None,3,2,900,112
3,1,1,720,3,420,3,2,1,1,1,3,2,3,3,1,2,5,1,5,1,4,3,5,4,3,5,3,2,4,4,1,1,3,3,2,1,3,940,500,tennis  ,5,1,900,125
3.6,1,1,610,2,420,2,4,1,2,1,3,3,2,5,2,2,1,1,5,2,2,2,7,5,2,4,2,2,3,2,1,2,4,1,2,1,2,940,690,"Recreational Basketball, Equestrian Team",5,2,1315,154
3.2,1,1,430,3,315,1,3,1,1,1,3,1,3,4,1,5,1,1,5,1,3,8,3,6,2,5,8,2,5,3,1,1,4,2,3,1,4,725,500,soccer,5,2,760,145
3.67,1,2,720,4,420,2,2,1,2,1,3,2,3,2,2,4,1,1,3,3,1,3,4,6,1,5,3,2,4,4,2,1,3,1,3,2,5,1165,690,None,5,1,1315,130
3.73,1,1,610,3,980,2,3,1,1,1,8,1,2,5,2,4,1,1,5,3,5,3,1,3,5,5,2,2,2,2,1,1,3,5,3,1,5,1165,500,Rec Volleyball,5,1,1315,140
4,1,1,720,3,420,2,2,1,1,1,11,1,2,5,1,2,1,1,5,3,3,5,3,5,4,5,2,2,4,4,1,1,6,3,4,1,4,1165,690,Softball,5,1,1315,140
3.1,2,2,610,3,980,2,3,1,2,1,3,1,2,4,2,4,0,2,5,1,2,3,7,5,3,5,2,1,4,2,1,1,2,2,3,2,3,1165,345,nan,5,1,1315,140
3.79,2,1,720,4,420,2,1,1,2,2,12,4,3,3,1,4,2,1,3,2,3,1,3,6,1,5,2,2,2,5,3,1,3,1,3,1,2,1165,850,baseball,4,1,1315,200
2.71,2,2,265,2,420,9,2,4,4,3,4,1,3,3,2,1,0,2,4,3,3,8,8,3,3,3,10,4,1,2,2,3,5,3,3,2,3,580,345,nan,4,2,760,154
3,1,1,610,3,420,3,3,1,1,1,3,2,2,5,1,4,1,1,5,1,3,6,2,5,4,5,9,2,4,4,1,2,4,3,3,2,4,940,500,I danced in high school,4,1,900,120
3.7,1,2,610,3,420,2,2,1,2,1,3,2,2,2,2,2,5,3,4,4,2,4,3,3,1,5,4,1,5,3,2,1,3,1,4,1,1,1165,690,horse back riding,2,2,1315,150
3.1,2,2,265,2,420,2,2,1,2,2,13,2,2,1,2,2,5,2,3,4,1,4,7,3,1,4,5,2,5,1,1,1,3,1,3,1,2,725,345,Basketball ,2,2,900,200
3,1,1,720,3,420,1,2,1,3,1,2,2,2,3,1,2,4,1,5,2,4,8,3,5,3,4,8,2,2,4,1,1,3,2,3,1,3,580,345,competitive skiing,4,1,1315,135
3.9,2,1,720,3,420,2,5,1,2,1,7,1,3,5,1,3,4,1,5,1,5,1,8,6,4,5,3,1,2,4,1,1,3,4,2,1,5,1165,850,"Rowing, Running, and Cycling",4,2,1315,145
3.4,1,1,430,2,420,7,3,1,2,1,3,3,2,4,2,2,1,3,3,1,3,4,2,4,3,5,1,1,4,2,1,1,3,3,3,2,4,1165,500,nan,2,1,900,130
3.5,1,2,610,3,420,2,3,1,2,1,3,3,3,4,1,4,1,1,4,4,4,2,3,4,4,5,2,2,4,2,1,3,5,4,4,1,4,725,500,softball and basketball,2,2,900,190
3.7,1,1,265,3,315,2,3,1,4,1,3,5,3,4,1,4,1,1,3,3,3,8,2,3,3,5,7,1,4,3,1,2,3,3,3,1,3,580,345,wrestling,3,2,575,170
3.7,1,1,430,3,420,2,2,1,2,1,2,2,2,5,1,2,2,1,4,1,5,4,5,1,5,5,1,1,1,3,1,2,2,5,3,1,5,940,690,Marching Band,4,2,1315,127
3.83,1,1,720,3,420,3,1,1,1,2,5,2,3,5,1,4,2,3,5,2,5,9,5,5,5,5,9,2,3,5,1,1,3,4,2,1,5,725,690,Collegiate Water Polo,5,1,760,167
2.6,1,1,265,3,315,1,3,1,3,1,2,3,2,3,3,5,4,3,5,1,4,7,5,6,2,5,7,2,3,3,1,2,3,3,3,2,3,580,500,None right now,4,1,760,140
3,1,1,610,3,420,2,2,1,1,2,5,1,3,4,2,2,4,3,5,1,4,3,5,6,4,5,1,1,4,5,1,1,3,3,4,1,4,580,500,"volleyball, lacrosse",4,1,900,190
3.2,2,1,720,3,420,3,4,1,2,1,3,2,2,3,1,4,5,2,4,2,1,5,2,6,1,5,4,1,5,2,1,1,3,1,4,1,1,1165,690,field hockey,4,1,1315,155
3.5,2,2,720,4,980,9,3,1,2,2,5,1,2,5,1,2,2,1,4,3,5,7,6,2,5,5,1,1,4,5,1,1,4,5,2,2,5,1165,850,nan,4,1,1315,175
3.2,1,1,610,3,420,1,3,1,2,2,5,2,2,5,1,4,4,1,5,3,4,7,2,3,5,5,1,1,2,5,1,2,3,4,3,2,5,1165,500,none ,5,1,900,129
3.68,2,1,720,4,420,2,4,1,1,2,5,2,3,3,1,2,1,1,5,1,4,7,4,6,3,5,8,1,3,2,1,1,4,3,4,1,3,1165,850,Fotball,4,1,1315,260
3.8,1,2,610,2,420,2,2,1,2,1,3,3,2,2,2,5,5,3,2,3,1,5,2,6,1,4,2,2,5,3,2,3,3,1,3,2,1,725,500,crew,1,2,900,135
3.3,2,2,720,3,420,1,2,1,2,2,5,5,2,1,3,2,5,1,1,3,1,8,3,3,1,5,1,2,3,2,1,1,3,1,4,1,1,1165,690,"Football, Basketball, Volleyball, Golf",4,2,900,190
3.2,2,1,720,3,420,2,4,1,2,1,2,2,3,5,3,5,1,1,4,1,4,6,2,4,5,5,6,1,4,1,1,1,4,5,3,2,5,1165,690,nan,5,2,1315,165
3.75,2,1,610,3,420,5,2,1,1,1,3,2,2,5,1,4,1,1,5,4,5,7,7,6,5,5,6,2,4,4,1,1,3,5,3,1,5,940,690,"hockey, soccer, golf",5,1,1315,175
3.5,2,1,265,3,420,2,3,1,2,1,2,2,3,4,1,4,5,3,4,3,4,10,6,5,3,5,10,2,4,3,1,1,3,3,2,1,4,1165,690,Wrestling,4,2,1315,184
3.92,2,1,430,3,420,7,2,2,2,2,5,2,2,4,2,2,1,3,3,1,3,2,2,6,3,5,8,1,5,2,1,2,3,3,6,2,3,725,500,Soccer,2,1,900,210
3.9,1,1,720,3,420,2,3,1,1,2,5,2,2,3,1,5,1,1,5,2,2,1,2,5,2,5,1,1,3,4,1,1,5,1,3,1,3,1165,500,Running ,5,2,760,155
3.9,2,1,720,3,315,3,4,6,2,2,5,5,3,5,2,4,1,1,5,4,5,8,3,6,5,5,1,2,2,3,4,3,6,1,4,1,5,1165,690,Tennis,4,1,1315,185
3.2,1,1,430,4,420,3,4,2,2,2,5,3,2,3,1,3,1,1,5,1,3,3,4,4,1,5,2,2,4,2,1,1,3,1,3,1,1,1165,690,softball,5,1,900,165
3.5,1,1,610,3,420,3,3,1,1,1,3,2,2,5,2,2,1,1,5,1,5,2,4,2,5,5,1,2,2,2,1,1,2,5,2,1,5,1165,500,"Volleyball, Track",5,2,900,125
3.4,1,1,610,3,420,2,3,1,2,1,11,2,2,5,3,4,4,3,5,1,5,3,2,5,4,5,3,1,4,4,1,1,2,4,5,2,3,1165,500,nan,5,2,1315,160
3.4,1,1,610,4,420,3,2,1,1,2,5,3,3,5,1,5,1,3,5,2,2,7,3,6,1,5,7,1,5,5,1,2,3,1,4,2,2,940,500,nan,5,1,900,135
3.7,1,1,610,3,420,8,2,1,1,1,3,2,2,5,2,4,8,1,5,3,3,4,2,4,5,5,8,1,4,4,1,2,3,3,6,2,3,725,345,"When I can, rarely though play pool, darts, and basketball.",5,1,760,130
3.4,1,1,720,3,420,2,4,1,2,1,2,2,2,4,1,4,1,3,4,1,3,9,2,5,3,5,3,1,3,4,1,2,4,2,5,2,5,940,690,None at the moment,5,1,1315,230
3,1,1,720,3,420,2,3,1,2,1,10,3,2,4,2,4,1,3,3,4,5,2,5,4,3,5,1,2,3,2,2,1,5,4,3,1,3,1165,690,volleyball,2,2,1315,125
3,1,1,430,3,315,7,2,1,1,2,12,5,2,5,2,5,4,1,5,1,5,7,1,1,5,5,6,1,4,4,1,1,3,4,4,2,4,580,500,None,5,2,760,130
3.8,1,1,430,3,420,1,2,1,1,1,2,2,2,4,1,3,1,3,4,2,3,5,2,4,3,5,4,1,3,2,1,1,3,2,4,2,5,1165,690,I used to play softball ,4,2,900,165
3.8,1,1,430,2,420,2,5,1,1,1,2,2,3,2,1,4,1,2,5,2,2,6,1,6,5,5,5,2,3,4,1,2,3,2,3,1,2,580,345,Ice hockey,5,2,760,128
3.4,1,1,610,3,420,1,2,1,2,2,5,3,2,2,3,5,1,2,4,2,2,5,2,6,1,5,1,1,5,4,1,2,3,1,5,2,2,940,690, None,3,1,1315,200
3.7,1,1,610,3,315,1,3,2,2,1,3,4,3,3,2,4,1,1,3,4,4,8,2,3,3,5,9,2,4,3,2,2,4,4,3,1,3,580,690,Volleyball,3,2,900,160
2.9,2,1,265,2,980,3,2,1,1,2,5,2,2,3,2,2,0,1,3,3,5,9,2,5,1,3,7,1,2,4,3,1,6,1,3,2,1,725,345,nan,3,2,1315,170
3.9,1,1,610,4,315,5,1,1,1,2,5,4,3,5,1,5,1,3,5,4,5,10,4,6,5,5,9,2,5,4,1,2,3,5,3,2,5,725,500,nan,3,2,900,129
3.6,1,1,430,2,420,2,2,1,2,1,2,3,2,3,2,4,1,1,4,4,3,9,7,6,2,5,1,2,4,4,1,2,3,3,4,2,2,1165,690,None,2,2,900,170
2.8,2,1,610,3,315,3,3,4,2,1,10,3,3,4,2,5,4,3,4,2,3,7,2,3,5,4,7,2,5,3,1,1,5,3,1,1,5,940,850,"Tennis, Basketball",3,2,760,138
3.3,2,1,610,4,980,1,4,1,2,1,3,2,2,2,1,5,0,3,5,1,1,10,3,6,1,4,10,2,5,1,1,1,5,2,2,1,1,1165,690,Hockey,2,2,1315,150
3.4,1,1,610,3,420,1,3,1,2,1,3,4,3,4,2,3,4,2,5,1,1,5,5,1,3,5,2,1,3,2,1,2,3,1,4,2,5,725,345,none,5,1,1315,170
3.77,1,1,610,3,315,2,3,4,1,2,5,2,2,4,1,2,4,3,3,2,2,9,2,2,2,4,7,1,2,2,1,1,2,2,4,2,5,725,690,"No, I don't play sport.",3,1,760,113
3.63,1,1,430,3,420,2,3,1,2,2,5,2,2,4,2,2,5,1,5,2,3,5,5,3,3,5,8,2,2,2,3,3,4,2,4,2,4,940,345,None,5,2,1315,140
3.2,2,1,610,3,420,4,2,5,2,2,5,2,2,5,2,5,8,3,5,4,5,7,3,2,5,5,6,2,5,2,1,1,3,5,4,1,5,1165,690,Soccer,5,2,1315,185
3.5,1,1,610,4,420,9,3,1,2,1,3,2,1,4,2,4,1,1,5,4,5,5,6,4,3,5,7,1,3,5,3,1,4,3,4,1,5,940,500,Softball,5,1,1315,156
3,1,1,265,2,315,3,3,1,2,1,3,4,3,3,2,5,2,1,4,4,1,5,5,2,5,5,7,1,2,3,1,3,4,1,4,1,4,940,500,basketball ,5,2,1315,180
3.882,1,1,720,3,420,2,3,1,2,1,3,3,3,5,2,5,4,1,4,3,5,6,2,2,5,3,10,1,1,3,1,2,4,5,4,2,5,580,690,none,4,2,1315,120
3,2,1,720,4,420,1,3,1,1,1,8,5,2,2,1,3,1,3,5,1,1,1,6,4,1,5,1,1,2,4,1,2,3,1,2,2,1,940,500,nan,3,1,1315,135
3.9,1,1,430,3,315,2,3,3,1,2,5,1,2,3,2,4,2,1,3,3,2,3,3,5,2,3,5,2,3,5,1,3,3,2,3,2,2,725,345,nan,4,2,575,135
